ip,rtt,ttl
112.225.152.69,4,119
112.225.177.35,9,55
112.225.159.87,8,55
112.225.128.97,2,55
112.225.174.77,6,55
112.225.128.209,6,55
112.225.186.25,2,55
112.225.130.95,2,55
112.225.162.79,10,55
112.225.187.141,5,55
112.225.157.100,8,55
112.225.182.70,2,55
112.225.136.243,3,55
112.225.159.114,3,55
112.225.188.149,11,55
112.225.164.104,6,55
112.225.132.216,2,55
112.225.133.72,2,55
112.225.179.214,7,55
112.225.170.26,6,55
112.225.184.249,5,55
112.225.140.144,7,55
112.225.134.214,2,55
112.225.175.215,6,55
112.225.162.117,12,55
112.225.138.177,6,55
112.225.164.131,6,55
112.225.137.33,7,55
112.225.188.216,11,55
112.225.137.22,8,55
112.225.166.169,11,55
112.225.140.32,4,55
112.225.138.212,3,55
112.225.172.102,10,55
112.225.148.58,4,55
112.225.191.139,11,55
112.225.181.96,6,55
112.225.142.30,8,55
112.225.152.65,4,55
112.225.138.196,4,55
112.225.172.129,6,55
112.225.146.126,7,55
112.225.153.176,8,55
112.225.129.83,6,55
112.225.186.131,6,55
112.225.175.253,10,55
112.225.155.83,2,55
112.225.155.195,8,55
112.225.133.202,7,55
112.225.181.134,7,55
112.225.183.18,2,55
112.225.131.181,6,55
112.225.152.111,3,55
112.225.178.10,6,55
112.225.152.100,7,55
112.225.159.110,8,55
112.225.136.44,5,55
112.225.189.164,7,55
112.225.183.45,6,55
112.225.159.156,8,55
112.225.164.127,11,55
112.225.160.100,3,55
112.225.141.18,4,55
112.225.133.107,8,21
112.225.186.169,5,55
112.225.157.81,8,55
112.225.129.103,1,55
112.225.148.188,10,55
112.225.187.177,6,55
112.225.189.191,2,55
112.225.137.234,7,55
112.225.131.237,7,55
112.225.159.129,8,55
112.225.164.162,11,55
112.225.164.173,11,55
112.225.132.104,3,55
112.225.168.47,6,55
112.225.168.159,6,55
112.225.172.125,6,55
112.225.166.227,5,55
112.225.140.179,7,55
112.225.166.238,6,55
112.225.164.146,6,55
112.225.173.236,6,55
112.225.139.176,8,55
112.225.174.92,7,119
112.225.170.45,6,55
112.225.172.160,6,55
112.225.172.171,11,55
112.225.179.229,6,55
112.225.156.69,5,55
112.225.179.117,10,55
112.225.154.67,8,55
112.225.141.38,9,55
112.225.131.96,2,55
112.225.151.122,3,55
112.225.138.34,3,55
112.225.178.6,2,55
112.225.166.211,7,55
112.225.181.115,1,55
112.225.158.167,3,55
112.225.135.215,8,55
112.225.178.41,2,55
112.225.183.41,10,55
112.225.172.144,9,55
112.225.184.152,5,55
112.225.186.150,2,55
112.225.153.64,8,55
112.225.163.184,1,55
112.225.178.25,1,55
112.225.189.187,2,55
112.225.183.76,2,55
112.225.143.31,8,55
112.225.136.118,8,55
112.225.183.87,7,55
112.225.191.154,2,55
112.225.160.247,7,55
112.225.169.33,6,55
112.225.129.86,6,55
112.225.129.193,7,55
112.225.145.63,4,55
112.225.158.223,6,55
112.225.189.222,3,55
112.225.183.60,6,55
112.225.138.52,9,55
112.225.159.244,4,55
112.225.174.222,2,55
112.225.133.205,2,55
112.225.168.194,8,55
112.225.180.103,6,55
112.225.161.106,6,55
112.225.156.89,7,55
112.225.141.21,8,55
112.225.134.56,8,55
112.225.145.222,3,55
112.225.163.240,6,55
112.225.137.24,3,55
112.225.137.1,4,55
112.225.189.206,6,55
112.225.171.182,10,55
112.225.128.140,3,55
112.225.167.191,10,55
112.225.158.82,4,55
112.225.174.127,11,55
112.225.177.63,8,55
112.225.166.49,2,55
112.225.138.214,4,55
112.225.151.196,10,55
112.225.173.124,3,55
112.225.133.3,2,55
112.225.180.8,6,55
112.225.185.138,10,55
112.225.141.128,8,55
112.225.130.149,6,55
112.225.135.12,2,55
112.225.143.160,8,55
112.225.163.99,2,55
112.225.171.238,1,55
112.225.158.241,3,55
112.225.182.98,5,55
112.225.188.244,2,55
112.225.174.242,6,55
112.225.179.5,11,55
112.225.165.164,6,55
112.225.177.119,9,55
112.225.164.2,10,55
112.225.152.79,8,55
112.225.184.40,6,55
112.225.156.72,3,55
112.225.191.189,6,55
112.225.180.123,6,55
112.225.135.10,4,55
112.225.185.158,10,55
112.225.142.84,13,55
112.225.156.179,9,55
112.225.142.82,6,55
112.225.171.97,4,55
112.225.161.89,11,55
112.225.166.67,4,55
112.225.159.147,3,55
112.225.159.124,8,55
112.225.190.186,10,55
112.225.153.219,8,55
112.225.169.36,6,55
112.225.161.196,6,55
112.225.135.210,5,55
112.225.176.234,9,55
112.225.164.164,2,55
112.225.172.0,6,55
112.225.189.44,10,55
112.225.174.225,3,55
112.225.157.135,7,55
112.225.169.143,11,55
112.225.143.26,4,55
112.225.131.216,2,55
112.225.187.151,6,55
112.225.177.137,4,55
112.225.166.229,2,55
112.225.166.206,7,55
112.225.137.161,5,55
112.225.168.90,2,55
112.225.160.143,6,55
112.225.180.106,10,55
112.225.157.133,6,55
112.225.175.76,11,55
112.225.188.159,2,55
112.225.136.79,4,55
112.225.172.139,7,55
112.225.182.172,11,55
112.225.170.99,5,55
112.225.162.150,5,55
112.225.138.13,7,55
112.225.189.62,7,55
112.225.178.20,8,55
112.225.147.9,5,55
112.225.178.43,8,55
112.225.185.141,2,55
112.225.174.23,11,55
112.225.180.213,1,55
112.225.128.137,1,55
112.225.152.239,8,55
112.225.128.171,9,55
112.225.176.32,5,55
112.225.185.248,11,55
112.225.158.77,7,55
112.225.145.183,7,55
112.225.183.55,6,55
112.225.133.34,2,55
112.225.154.146,8,55
112.225.184.195,11,55
112.225.131.105,2,55
112.225.163.94,7,55
112.225.136.191,3,55
112.225.176.30,13,55
112.225.189.201,6,55
112.225.131.130,4,55
112.225.138.125,4,55
112.225.158.202,12,55
112.225.165.45,6,55
112.225.165.159,15,55
112.225.140.72,6,55
112.225.191.85,7,55
112.225.140.106,7,55
112.225.143.155,8,55
112.225.187.212,1,55
112.225.181.167,6,55
112.225.130.145,2,55
112.225.135.249,2,55
112.225.186.202,6,55
112.225.186.204,11,55
112.225.163.219,2,55
112.225.171.92,6,55
112.225.143.40,7,55
112.225.136.154,7,55
112.225.137.146,7,55
112.225.148.20,8,55
112.225.147.242,9,55
112.225.149.129,3,55
112.225.135.124,8,55
112.225.143.65,3,55
112.225.138.88,10,55
112.225.166.28,12,55
112.225.145.72,14,55
112.225.176.229,14,55
112.225.152.13,10,55
112.225.139.80,7,55
112.225.137.189,6,55
112.225.173.43,10,55
112.225.153.216,7,55
112.225.153.250,8,55
112.225.156.174,8,55
112.225.187.210,10,55
112.225.130.117,5,55
112.225.135.8,10,55
112.225.142.80,4,55
112.225.142.196,3,55
112.225.131.142,1,55
112.225.161.191,11,55
112.225.131.180,2,55
112.225.187.146,6,55
112.225.171.217,6,55
112.225.159.58,7,55
112.225.139.123,4,55
112.225.155.157,3,55
112.225.146.250,8,55
112.225.178.180,11,55
112.225.155.123,8,55
112.225.129.232,7,55
112.225.144.112,4,55
112.225.158.91,6,55
112.225.151.71,6,55
112.225.136.43,6,55
112.225.188.154,7,55
112.225.151.232,4,55
112.225.164.75,6,55
112.225.177.98,8,55
112.225.147.37,3,55
112.225.183.215,7,55
112.225.160.140,2,55
112.225.152.224,8,55
112.225.150.86,3,55
112.225.142.52,8,55
112.225.137.233,2,55
112.225.150.202,8,55
112.225.163.108,7,55
112.225.143.77,6,55
112.225.159.21,6,55
112.225.190.105,2,55
112.225.182.133,11,55
112.225.154.131,7,55
112.225.134.95,4,55
112.225.168.121,10,55
112.225.175.71,6,55
112.225.145.147,3,55
112.225.145.109,3,55
112.225.163.133,6,55
112.225.189.23,6,55
112.225.165.173,10,55
112.225.172.73,6,55
112.225.164.38,10,55
112.225.165.30,2,55
112.225.154.174,7,55
112.225.174.54,2,55
112.225.174.20,7,55
112.225.180.208,2,55
112.225.129.7,7,55
112.225.157.131,4,55
112.225.133.206,2,55
112.225.179.157,8,55
112.225.167.95,12,55
112.225.165.73,11,55
112.225.133.126,7,55
112.225.143.199,4,55
112.225.162.148,2,55
112.225.185.243,7,55
112.225.179.191,11,55
112.225.150.58,8,55
112.225.163.8,6,55
112.225.171.106,6,55
112.225.165.198,6,55
112.225.140.198,3,55
112.225.166.103,9,55
112.225.177.210,10,55
112.225.141.240,4,55
112.225.141.22,7,55
112.225.157.103,3,55
112.225.170.211,1,55
112.225.149.173,8,55
112.225.171.131,6,55
112.225.182.245,6,55
112.225.158.166,8,55
112.225.173.28,7,55
112.225.172.36,10,55
112.225.128.34,7,55
112.225.184.192,7,55
112.225.129.88,6,55
112.225.156.218,8,55
112.225.184.226,11,55
112.225.162.120,5,55
112.225.144.16,10,55
112.225.182.22,6,55
112.225.163.145,6,55
112.225.163.183,8,55
112.225.176.28,15,55
112.225.131.204,7,55
112.225.171.6,12,55
112.225.177.12,9,55
112.225.177.173,8,55
112.225.178.165,3,55
112.225.189.135,7,55
112.225.173.71,3,55
112.225.132.153,3,55
112.225.182.208,2,55
112.225.191.82,7,55
112.225.133.207,2,55
112.225.149.28,8,55
112.225.161.235,6,55
112.225.170.67,6,55
112.225.165.248,2,55
112.225.188.168,9,55
112.225.181.165,13,55
112.225.182.47,8,55
112.225.186.200,1,55
112.225.136.67,9,55
112.225.157.35,5,55
112.225.165.210,10,55
112.225.169.182,11,55
112.225.187.60,6,55
112.225.138.1,3,55
112.225.188.193,6,55
112.225.190.90,6,55
112.225.155.249,4,55
112.225.183.243,10,55
112.225.141.23,6,55
112.225.156.73,7,55
112.225.145.171,3,55
112.225.177.62,4,55
112.225.177.24,9,55
112.225.153.113,7,55
112.225.190.133,11,55
112.225.161.10,6,55
112.225.188.68,4,55
112.225.175.115,8,55
112.225.187.208,6,55
112.225.169.37,2,55
112.225.162.52,14,55
112.225.180.252,5,55
112.225.186.172,7,55
112.225.169.255,11,55
112.225.182.59,2,55
112.225.182.97,6,55
112.225.151.145,8,55
112.225.168.213,1,55
112.225.156.74,5,55
112.225.174.226,6,55
112.225.134.97,3,55
112.225.186.31,3,55
112.225.175.188,2,55
112.225.187.180,2,55
112.225.130.144,6,55
112.225.188.205,3,55
112.225.188.243,10,55
112.225.139.133,6,55
112.225.160.37,6,55
112.225.147.47,2,55
112.225.167.240,6,55
112.225.180.107,2,55
112.225.180.27,6,55
112.225.141.169,4,55
112.225.161.91,11,55
112.225.135.7,11,55
112.225.181.69,13,55
112.225.163.207,8,55
112.225.136.238,6,55
112.225.138.172,6,55
112.225.185.62,2,55
112.225.169.38,1,55
112.225.173.173,10,55
112.225.185.142,7,55
112.225.186.104,7,55
112.225.143.201,8,55
112.225.128.228,4,55
112.225.166.16,6,55
112.225.191.208,6,55
112.225.174.227,11,55
112.225.130.42,7,55
112.225.171.205,10,55
112.225.154.184,8,55
112.225.179.54,7,55
112.225.177.86,9,55
112.225.152.60,8,55
112.225.165.83,5,55
112.225.133.91,2,55
112.225.156.220,4,55
112.225.180.108,11,55
112.225.137.83,8,55
112.225.185.143,2,55
112.225.140.163,6,55
112.225.129.54,6,55
112.225.141.233,2,55
112.225.161.237,6,55
112.225.157.130,5,55
112.225.182.121,10,55
112.225.159.105,8,55
112.225.137.80,4,55
112.225.189.11,11,55
112.225.139.17,9,55
112.225.173.81,6,55
112.225.148.77,3,55
112.225.133.173,11,55
112.225.162.147,7,55
112.225.128.91,1,55
112.225.178.218,10,55
112.225.154.51,4,55
112.225.140.245,13,55
112.225.175.117,9,55
112.225.170.94,7,55
112.225.139.14,11,55
112.225.166.187,14,55
112.225.146.187,11,55
112.225.146.184,5,55
112.225.172.120,7,55
112.225.132.210,2,55
112.225.183.253,7,55
112.225.155.214,4,55
112.225.129.144,6,55
112.225.180.254,7,55
112.225.157.28,7,55
112.225.176.27,9,55
112.225.134.7,7,55
112.225.186.33,6,55
112.225.129.253,6,55
112.225.181.164,6,55
112.225.130.214,7,55
112.225.162.45,10,55
112.225.159.206,7,55
112.225.178.1,9,247
112.225.140.26,3,55
112.225.135.77,7,55
112.225.183.36,2,55
112.225.159.203,5,55
112.225.168.178,6,55
112.225.169.248,1,55
112.225.186.199,1,55
112.225.141.79,7,55
112.225.143.111,8,55
112.225.141.188,7,55
112.225.175.181,6,55
112.225.187.207,6,55
112.225.142.149,7,55
112.225.189.182,2,55
112.225.164.220,6,55
112.225.167.32,12,55
112.225.153.170,7,55
112.225.174.111,6,246
112.225.129.82,6,55
112.225.161.57,6,55
112.225.155.77,4,55
112.225.133.201,2,55
112.225.131.7,4,55
112.225.179.248,13,55
112.225.149.85,10,55
112.225.143.220,8,55
112.225.181.62,10,55
112.225.167.29,2,55
112.225.172.221,8,55
112.225.132.109,2,55
112.225.178.102,6,55
112.225.138.138,8,55
112.225.160.94,4,55
112.225.185.27,6,55
112.225.141.17,7,55
112.225.174.193,8,55
112.225.150.155,3,55
112.225.156.130,8,55
112.225.149.194,7,55
112.225.191.173,2,55
112.225.186.97,10,55
112.225.135.126,8,55
112.225.180.74,11,55
112.225.142.198,3,55
112.225.156.239,8,55
112.225.157.200,8,55
112.225.183.137,6,55
112.225.178.99,7,55
112.225.139.181,5,55
112.225.128.103,1,55
112.225.168.41,10,55
112.225.169.94,6,55
112.225.185.109,10,55
112.225.144.230,3,55
112.225.162.217,6,55
112.225.162.0,10,55
112.225.152.26,11,55
112.225.183.134,9,55
112.225.190.27,10,55
112.225.175.27,7,55
112.225.132.222,9,55
112.225.169.203,6,55
112.225.173.230,10,55
112.225.170.164,11,55
112.225.150.204,3,55
112.225.190.24,3,55
112.225.140.38,6,55
112.225.156.68,5,55
112.225.179.111,11,55
112.225.147.208,3,55
