ip,rtt,ttl
120.221.94.125,5,55
120.221.94.110,5,55
120.221.94.120,5,55
120.221.94.109,5,55
120.221.94.118,5,55
120.221.94.224,5,248
120.221.94.107,5,55
120.221.94.253,6,121
120.221.94.106,5,55
120.221.94.225,9,248
120.221.94.117,5,55
120.221.94.115,5,55
120.221.94.126,5,55
120.221.94.255,11,249
120.221.94.247,6,248
120.221.94.101,5,55
120.221.94.119,5,55
120.221.94.121,5,55
120.221.94.100,5,55
120.221.94.227,10,248
120.221.94.113,6,55
120.221.94.96,5,55
120.221.94.105,5,55
120.221.94.98,5,55
120.221.94.112,7,55
120.221.94.104,6,55
120.221.94.254,6,248
120.221.94.103,9,55
120.221.94.114,5,55
120.221.94.123,5,55
120.221.94.241,5,248
120.221.94.99,5,55
120.221.94.116,5,55
120.221.94.108,5,55
120.221.94.127,12,55
120.221.94.122,5,55
120.221.94.111,5,55
120.221.94.97,6,55
120.221.94.233,5,248
120.221.94.102,5,55
120.221.94.124,5,55
