ip,rtt,ttl
112.254.154.84,15,55
112.254.138.142,11,55
112.254.235.235,8,55
112.254.140.19,6,55
112.254.252.111,7,55
112.254.149.193,7,55
112.254.156.35,13,55
112.254.228.90,8,55
112.254.228.246,9,55
112.254.253.42,11,55
112.254.195.122,9,55
112.254.169.238,6,55
112.254.248.83,9,55
112.254.177.34,5,55
112.254.206.175,10,55
112.254.254.119,11,55
112.254.191.243,8,55
112.254.158.137,13,55
112.254.142.177,6,55
112.254.184.242,8,55
112.254.160.88,4,54
112.254.246.37,9,55
112.254.204.96,6,55
112.254.230.241,8,55
112.254.204.192,7,55
112.254.159.241,13,55
112.254.232.90,6,55
112.254.160.229,3,55
112.254.144.54,13,55
112.254.156.176,14,55
112.254.198.248,8,55
112.254.209.110,8,55
112.254.237.57,8,55
112.254.242.178,13,55
112.254.149.227,12,55
112.254.206.69,7,55
112.254.182.176,10,55
112.254.237.213,18,55
112.254.145.113,14,55
112.254.166.21,4,55
112.254.211.93,12,55
112.254.200.251,6,55
112.254.148.94,8,55
112.254.185.174,9,55
112.254.167.125,2,55
112.254.250.190,13,55
112.254.139.52,11,55
112.254.172.133,9,55
112.254.236.108,15,55
112.254.209.14,14,55
112.254.172.236,7,55
112.254.217.26,8,55
112.254.217.122,7,55
112.254.241.28,12,55
112.254.241.233,8,55
112.254.156.210,13,55
112.254.242.133,14,55
112.254.210.243,8,55
112.254.253.111,11,55
112.254.171.29,2,55
112.254.145.77,12,55
112.254.188.246,8,55
112.254.151.30,13,55
112.254.213.223,13,55
112.254.178.81,2,55
112.254.137.204,7,55
112.254.174.47,2,55
112.254.207.108,10,55
112.254.174.150,6,55
112.254.173.121,6,55
112.254.159.130,13,55
112.254.246.130,9,55
112.254.150.250,12,55
112.254.152.131,13,55
112.254.213.117,13,55
112.254.221.181,7,55
112.254.179.189,6,55
112.254.168.147,2,55
112.254.180.36,7,55
112.254.175.35,8,55
112.254.162.66,3,55
112.254.155.243,13,55
112.254.145.127,7,55
112.254.221.75,8,55
112.254.152.95,13,55
112.254.167.14,3,55
112.254.215.120,8,55
112.254.190.37,5,55
112.254.138.31,10,55
112.254.138.181,6,55
112.254.142.66,10,55
112.254.147.156,12,55
112.254.138.99,11,55
112.254.223.78,13,55
112.254.160.40,5,55
112.254.186.3,6,55
112.254.186.106,4,55
112.254.139.95,6,55
112.254.173.155,6,55
112.254.231.40,11,55
112.254.231.136,11,55
112.254.164.68,6,55
112.254.162.30,8,55
112.254.206.201,5,55
112.254.145.165,9,55
112.254.233.119,10,55
112.254.151.44,12,55
112.254.141.16,11,55
112.254.164.32,6,55
112.254.152.145,8,55
112.254.151.82,13,55
112.254.191.163,4,55
112.254.179.74,1,55
112.254.211.119,14,55
112.254.137.208,6,55
112.254.137.35,10,55
