ip,rtt,ttl
123.168.95.142,3,54
123.168.95.230,10,54
123.168.95.136,11,54
123.168.95.149,11,54
123.168.95.243,13,54
123.168.94.248,5,54
123.168.94.243,19,118
123.168.95.124,8,245
123.168.94.69,7,54
123.168.95.37,15,54
123.168.95.77,8,54
123.168.95.81,8,54
123.168.94.113,12,54
123.168.94.38,11,54
123.168.95.231,12,54
123.168.95.85,9,54
123.168.94.67,8,54
123.168.95.249,19,54
123.168.95.144,5,54
123.168.95.28,8,54
123.168.95.251,13,54
123.168.94.84,14,54
123.168.95.226,5,118
123.168.94.89,9,54
123.168.95.215,10,53
123.168.94.201,12,54
123.168.94.191,10,54
123.168.95.52,12,54
123.168.95.83,7,54
123.168.95.132,17,54
123.168.94.186,9,54
123.168.95.201,18,54
123.168.94.215,6,54
123.168.95.245,5,54
123.168.95.160,8,54
123.168.95.140,14,54
123.168.94.33,3,54
123.168.95.110,12,54
123.168.94.102,5,54
123.168.95.112,15,54
123.168.95.2,11,54
123.168.86.98,6,54
123.168.94.207,12,54
123.168.95.193,13,54
123.168.94.155,4,54
123.168.94.244,15,54
123.168.95.7,12,54
123.168.94.105,12,54
123.168.95.61,12,54
123.168.94.100,10,54
123.168.95.29,16,54
123.168.94.210,12,53
123.168.94.165,7,54
123.168.95.187,8,54
123.168.94.128,3,54
123.168.94.103,8,54
123.168.95.145,11,54
123.168.94.1,4,246
123.168.95.181,13,54
123.168.95.225,14,118
123.168.95.158,8,118
123.168.95.134,3,54
123.168.95.0,4,54
123.168.95.133,11,54
123.168.95.143,10,54
123.168.95.147,5,54
123.168.95.186,15,54
123.168.94.171,13,54
123.168.94.185,10,54
123.168.94.247,7,54
123.168.95.34,11,54
123.168.94.237,13,54
123.168.94.151,15,54
123.168.95.63,15,54
123.168.95.239,4,54
123.168.94.49,18,54
123.168.95.11,5,54
123.168.94.32,14,54
123.168.94.16,12,54
123.168.94.47,3,54
123.168.94.222,8,54
123.168.95.118,11,54
123.168.95.202,7,54
123.168.95.211,16,54
123.168.94.78,5,54
123.168.94.203,16,54
123.168.94.154,8,54
123.168.94.21,9,54
123.168.94.3,6,54
123.168.94.249,9,54
123.168.94.141,4,54
123.168.95.74,7,54
123.168.94.169,10,20
123.168.95.252,10,54
123.168.94.114,8,54
123.168.95.137,8,54
123.168.94.175,9,54
123.168.95.38,8,54
123.168.94.209,10,54
123.168.95.209,15,54
123.168.95.153,8,54
123.168.95.30,9,54
123.168.94.20,12,54
123.168.95.35,12,54
123.168.95.194,5,118
123.168.95.18,9,54
123.168.94.53,13,54
123.168.95.49,10,54
123.168.94.205,12,118
123.168.94.111,11,54
123.168.94.213,5,54
123.168.95.6,4,54
123.168.94.29,14,54
123.168.95.234,12,54
123.168.95.98,10,54
123.168.95.39,4,54
123.168.95.48,14,54
123.168.94.178,13,54
123.168.95.229,13,54
123.168.95.87,9,54
123.168.94.212,3,54
123.168.94.211,8,54
123.168.95.235,16,54
123.168.95.19,10,54
123.168.94.246,11,54
123.168.94.162,16,245
123.168.95.90,9,54
123.168.94.41,13,54
123.168.94.23,9,54
123.168.95.138,4,54
123.168.95.177,15,54
123.168.94.101,11,54
123.168.94.74,4,54
123.168.95.233,8,54
123.168.94.64,3,54
123.168.94.119,9,54
123.168.94.7,14,54
123.168.95.17,9,54
123.168.95.78,9,54
123.168.94.131,15,54
123.168.95.183,15,54
123.168.95.238,14,54
123.168.94.221,7,54
123.168.94.75,8,54
123.168.94.158,3,54
123.168.95.116,8,54
123.168.94.159,18,54
123.168.94.59,7,54
123.168.95.164,15,54
123.168.95.67,5,54
123.168.95.62,17,118
123.168.94.10,4,54
123.168.94.28,13,54
123.168.94.87,8,54
123.168.94.173,11,54
123.168.95.76,5,54
123.168.94.182,10,54
123.168.95.165,7,54
