ip,rtt,ttl
112.9.100.101,5,247
112.9.100.1,6,247
112.9.100.45,8,55
112.9.100.199,5,54
112.9.100.39,7,119
112.9.100.201,5,54
112.9.100.242,7,45
112.9.100.198,5,54
112.9.100.120,7,55
112.9.100.46,7,55
112.9.100.225,10,247
112.9.100.41,8,55
112.9.100.121,6,55
112.9.100.36,8,54
112.9.100.115,9,55
112.9.100.205,5,54
112.9.100.97,5,247
112.9.100.44,7,55
112.9.100.102,6,245
112.9.100.106,6,43
112.9.100.194,6,54
112.9.100.113,6,247
112.9.72.1,6,247
112.9.96.252,7,55
112.9.100.119,8,55
112.9.100.107,6,43
112.9.100.200,6,54
112.9.100.202,6,54
112.9.100.105,6,245
112.9.100.17,6,247
112.9.100.35,7,55
112.9.100.129,5,247
112.9.100.81,7,247
112.9.100.33,5,247
112.9.100.34,7,55
112.9.100.38,7,55
112.9.100.204,6,54
112.9.100.49,6,247
112.9.100.42,13,55
112.9.100.197,6,54
112.9.100.193,6,245
112.9.100.196,6,54
112.9.98.221,8,55
112.9.100.195,6,54
112.9.100.241,8,247
112.9.100.203,5,54
112.9.100.43,8,55
112.9.64.1,6,247
112.9.100.98,6,245
112.9.100.226,10,246
112.9.100.37,7,55
112.9.100.65,8,247
