ip,rtt,ttl
124.132.119.43,8,55
124.132.49.211,10,55
124.132.35.68,8,55
124.132.20.29,11,55
124.132.87.151,11,55
124.132.51.11,9,55
124.132.51.44,8,55
124.132.87.182,11,55
124.132.25.104,10,55
124.132.69.95,8,55
124.132.29.199,12,55
124.132.74.65,11,55
124.132.75.6,8,55
124.132.89.204,10,55
124.132.79.42,11,55
124.132.3.243,9,55
124.132.124.165,5,55
124.132.38.77,11,55
124.132.24.204,7,55
124.132.95.79,10,55
124.132.11.253,11,55
124.132.108.145,7,55
124.132.55.135,12,55
124.132.31.76,11,55
124.132.40.83,9,55
124.132.73.250,14,55
124.132.44.208,8,55
124.132.78.89,10,55
124.132.44.13,8,55
124.132.81.119,11,55
124.132.3.149,11,55
124.132.85.107,11,55
124.132.86.48,8,55
124.132.101.23,7,55
124.132.53.2,12,55
124.132.90.112,14,55
124.132.79.99,13,55
124.132.9.102,13,55
124.132.33.152,12,55
124.132.17.241,12,55
124.132.63.5,9,55
124.132.2.9,10,55
124.132.47.145,10,55
124.132.20.34,10,55
124.132.28.195,11,55
124.132.64.61,8,55
124.132.36.110,11,55
124.132.77.77,10,55
124.132.107.205,7,55
124.132.107.174,11,55
124.132.24.209,11,55
124.132.35.210,11,55
124.132.39.223,14,55
124.132.68.185,10,55
124.132.68.152,10,55
124.132.85.36,10,55
124.132.39.119,12,55
124.132.104.89,7,55
124.132.88.218,11,55
124.132.52.63,11,55
124.132.89.159,10,55
124.132.57.126,11,55
124.132.92.158,8,55
124.132.81.176,9,55
124.132.17.147,10,55
124.132.42.43,10,55
124.132.22.160,13,55
124.132.67.96,9,55
124.132.50.57,10,55
124.132.10.16,11,55
124.132.10.236,9,55
124.132.71.251,10,55
124.132.54.181,10,55
124.132.38.219,9,55
124.132.73.51,8,55
124.132.73.84,9,55
124.132.43.49,11,55
124.132.88.147,9,55
124.132.51.203,10,55
124.132.56.187,10,55
124.132.109.18,8,55
124.132.60.170,9,55
124.132.101.187,8,55
124.132.14.139,11,55
124.132.22.66,11,55
124.132.22.58,13,55
124.132.45.229,9,55
124.132.26.151,9,55
124.132.76.167,9,55
124.132.100.37,9,55
124.132.56.71,10,55
124.132.59.231,9,55
124.132.116.253,7,55
124.132.65.5,10,55
124.132.17.38,9,55
124.132.26.57,9,55
124.132.33.166,9,55
124.132.26.49,11,55
124.132.18.53,10,55
124.132.80.216,9,55
124.132.18.236,10,55
124.132.63.107,10,55
124.132.42.149,10,55
124.132.35.215,11,55
124.132.83.37,8,55
124.132.76.134,10,55
124.132.23.192,10,55
124.132.11.25,10,55
124.132.67.198,9,55
124.132.50.199,8,55
124.132.38.224,9,55
124.132.84.126,10,55
124.132.15.92,10,55
124.132.59.115,9,55
124.132.69.204,8,55
124.132.103.103,9,55
124.132.104.44,6,55
124.132.75.42,8,55
124.132.122.119,8,55
124.132.109.182,6,55
124.132.101.244,6,55
124.132.33.72,9,55
124.132.33.64,10,55
124.132.58.147,9,55
124.132.42.57,10,55
124.132.22.228,9,55
124.132.126.39,8,55
124.132.108.229,9,55
124.132.78.125,10,55
124.132.105.54,6,55
124.132.117.161,8,55
124.132.41.211,8,55
124.132.41.219,13,55
124.132.25.204,15,55
124.132.61.191,12,55
124.132.26.219,10,55
124.132.27.146,10,55
124.132.27.183,11,55
124.132.19.62,12,55
124.132.87.204,8,55
124.132.42.154,10,55
124.132.87.237,9,55
124.132.55.67,11,55
124.132.59.11,11,55
124.132.108.170,9,55
124.132.74.103,9,55
124.132.95.165,8,55
124.132.50.204,10,55
124.132.68.240,8,55
124.132.63.249,11,55
124.132.116.11,5,55
124.132.29.140,10,55
124.132.73.243,10,55
124.132.77.186,10,55
124.132.116.208,7,55
124.132.86.84,8,55
124.132.123.27,6,55
124.132.45.149,7,55
124.132.66.26,7,55
124.132.109.239,9,55
124.132.45.141,10,55
124.132.33.234,10,55
124.132.48.155,11,55
124.132.34.161,10,55
124.132.75.180,8,55
124.132.5.107,9,55
124.132.34.198,10,55
124.132.94.76,10,55
124.132.73.139,8,55
124.132.23.237,12,55
124.132.55.72,11,55
124.132.36.155,9,55
124.132.77.70,9,55
124.132.85.145,9,55
124.132.117.218,6,55
124.132.89.195,10,55
124.132.48.53,9,55
124.132.48.61,9,55
124.132.36.243,8,55
124.132.70.181,10,55
124.132.37.170,7,55
124.132.58.161,11,55
124.132.37.207,9,55
124.132.83.139,9,55
124.132.11.68,10,55
124.132.27.228,11,55
124.132.123.84,8,55
124.132.58.59,10,55
124.132.61.205,8,55
124.132.58.67,11,55
124.132.79.146,11,55
124.132.46.55,11,55
124.132.106.171,8,55
124.132.46.238,10,55
124.132.47.19,10,55
124.132.19.105,11,55
124.132.107.227,8,55
124.132.86.250,11,55
124.132.72.239,9,55
124.132.63.254,9,55
124.132.108.4,7,55
124.132.11.187,10,55
124.132.39.164,8,55
124.132.76.222,10,55
124.132.85.29,9,55
124.132.127.4,7,55
124.132.66.40,7,55
124.132.89.0,10,55
124.132.81.223,8,55
124.132.53.90,11,55
124.132.61.111,10,55
124.132.61.103,10,55
124.132.48.223,9,55
124.132.49.150,9,55
124.132.11.97,9,55
124.132.94.178,9,55
124.132.76.66,8,55
124.132.19.224,9,55
124.132.68.89,9,55
124.132.84.181,8,55
124.132.43.94,10,55
124.132.101.14,7,55
124.132.96.184,16,55
124.132.65.202,13,55
124.132.90.216,11,55
124.132.70.195,11,55
124.132.0.215,12,55
124.132.58.229,10,55
124.132.119.79,7,55
124.132.54.55,9,55
124.132.54.18,11,55
124.132.47.64,10,55
124.132.19.134,9,55
124.132.84.25,8,55
124.132.72.244,8,55
124.132.24.143,12,55
124.132.100.75,9,55
124.132.104.80,7,55
124.132.7.48,11,55
124.132.109.9,8,55
124.132.70.93,8,55
124.132.61.2,9,55
124.132.93.6,10,55
124.132.107.17,6,55
124.132.62.237,8,55
124.132.124.201,8,55
124.132.62.200,10,55
124.132.49.232,14,55
124.132.35.30,13,55
124.132.24.53,13,55
124.132.120.152,8,55
124.132.28.134,11,55
124.132.120.119,9,55
124.132.87.136,10,55
124.132.95.220,9,55
124.132.56.12,8,55
124.132.103.141,8,55
124.132.13.85,10,55
124.132.4.224,8,55
124.132.67.35,9,55
124.132.67.72,9,55
124.132.54.100,11,55
124.132.35.149,9,55
124.132.84.30,9,55
124.132.59.56,8,55
124.132.108.163,8,55
124.132.116.244,7,55
124.132.79.58,9,55
124.132.102.35,7,55
124.132.79.66,9,55
124.132.81.237,9,55
124.132.66.108,9,55
124.132.75.130,10,55
124.132.81.135,9,55
124.132.81.143,9,55
124.132.105.101,8,55
124.132.17.223,10,55
124.132.90.230,10,55
124.132.71.7,9,55
124.132.119.181,6,55
124.132.71.190,8,55
124.132.35.59,9,55
124.132.47.107,9,55
124.132.63.26,11,55
124.132.69.29,10,55
124.132.108.59,11,55
124.132.38.158,14,55
124.132.116.49,8,55
124.132.20.83,10,55
124.132.122.110,7,55
124.132.80.155,8,55
124.132.80.192,8,55
124.132.50.19,8,55
124.132.67.117,9,55
124.132.18.222,10,55
124.132.125.47,7,55
124.132.107.159,8,55
124.132.6.51,9,55
124.132.73.184,7,55
124.132.121.171,8,55
124.132.29.212,10,55
124.132.30.32,10,55
124.132.126.30,7,55
124.132.78.213,8,55
124.132.90.128,9,55
124.132.90.136,9,55
124.132.110.30,13,55
124.132.93.20,13,55
124.132.22.142,14,55
124.132.118.9,6,55
124.132.102.49,8,55
124.132.81.34,11,55
124.132.26.133,10,55
124.132.82.49,9,119
124.132.83.13,8,55
124.132.23.141,11,55
124.132.47.136,9,55
124.132.54.143,12,55
124.132.12.12,8,55
124.132.50.138,10,55
124.132.77.11,10,55
124.132.31.89,10,55
124.132.40.56,8,55
124.132.31.165,13,55
124.132.90.27,10,55
124.132.101.203,9,55
124.132.101.211,7,55
124.132.105.115,9,55
124.132.33.148,9,55
124.132.91.225,8,55
124.132.63.69,7,55
124.132.27.132,11,55
124.132.92.6,11,55
124.132.107.164,7,55
124.132.50.48,10,55
124.132.120.207,7,55
124.132.55.6,11,55
124.132.14.167,11,55
124.132.84.226,9,55
124.132.39.236,9,55
124.132.105.13,5,55
124.132.92.73,8,55
124.132.105.21,7,55
124.132.127.51,7,55
124.132.42.39,10,55
124.132.93.88,8,55
124.132.94.15,8,55
124.132.94.52,9,55
124.132.67.160,8,55
124.132.83.58,9,55
124.132.54.172,9,55
124.132.120.51,7,55
124.132.63.188,9,55
124.132.24.224,10,55
124.132.88.81,10,55
124.132.43.242,10,55
124.132.51.216,10,55
124.132.52.36,10,55
124.132.109.206,7,55
124.132.45.225,8,55
124.132.118.23,6,55
124.132.102.117,7,55
124.132.103.44,11,55
124.132.11.75,10,55
124.132.72.59,10,55
124.132.63.98,9,55
124.132.37.156,12,55
124.132.86.169,11,55
124.132.68.23,8,55
124.132.28.215,9,55
124.132.105.183,5,55
124.132.117.177,7,55
124.132.123.145,8,55
124.132.48.137,13,55
124.132.106.110,7,55
124.132.106.147,7,55
124.132.67.189,10,55
124.132.81.24,10,55
124.132.72.178,8,55
124.132.94.97,12,55
124.132.120.56,8,55
124.132.19.112,11,55
124.132.35.230,10,55
124.132.56.160,8,55
124.132.56.84,10,55
124.132.7.225,12,55
124.132.104.168,7,55
124.132.108.104,11,55
124.132.59.204,9,55
124.132.59.128,11,55
124.132.109.97,8,55
124.132.123.43,8,55
124.132.127.65,7,55
124.132.9.27,11,55
124.132.58.143,9,55
124.132.10.53,10,55
124.132.49.136,9,55
124.132.4.147,11,55
124.132.24.31,9,55
124.132.72.88,9,55
124.132.76.5,10,55
124.132.42.169,11,55
124.132.69.101,8,55
124.132.69.177,10,55
124.132.117.76,8,55
124.132.126.219,7,55
124.132.17.64,8,55
124.132.126.227,7,55
124.132.61.187,8,55
124.132.3.208,10,55
124.132.118.91,9,55
124.132.119.18,6,55
124.132.10.108,9,55
124.132.10.128,9,55
124.132.18.90,10,55
124.132.1.99,10,55
124.132.119.55,7,55
124.132.10.98,10,55
124.132.106.192,9,55
124.132.54.4,11,55
124.132.86.212,9,55
124.132.28.22,10,55
124.132.83.220,9,55
124.132.75.171,11,55
124.132.124.140,5,55
124.132.124.177,7,55
124.132.18.165,14,55
124.132.62.186,14,55
124.132.35.37,11,55
124.132.94.140,12,55
124.132.87.75,10,55
124.132.50.219,10,55
124.132.74.0,7,55
124.132.74.76,9,55
