ip,rtt,ttl
124.135.42.210,9,55
124.135.15.145,2,55
124.135.40.206,7,55
124.135.73.11,2,55
124.135.26.28,9,55
124.135.37.32,6,55
124.135.84.184,10,55
124.135.23.209,2,247
124.135.3.199,4,55
124.135.65.255,6,247
124.135.100.156,12,54
124.135.96.118,13,54
124.135.86.110,10,55
124.135.93.28,6,55
124.135.51.107,7,55
124.135.43.15,6,119
124.135.21.98,9,55
124.135.78.97,3,55
124.135.64.1,6,247
124.135.44.235,8,55
124.135.89.186,12,55
124.135.74.198,6,55
124.135.2.213,2,55
124.135.80.28,3,55
124.135.66.3,3,55
124.135.35.89,7,55
124.135.17.240,8,55
124.135.0.85,5,55
124.135.26.208,7,55
124.135.55.3,11,55
124.135.84.74,7,55
124.135.51.168,11,55
124.135.89.76,7,55
124.135.78.202,6,55
124.135.3.41,5,55
124.135.23.193,2,247
124.135.69.236,2,55
124.135.120.112,9,54
124.135.86.5,7,55
124.135.81.39,10,55
124.135.66.58,3,55
124.135.30.65,6,55
124.135.6.51,2,55
124.135.61.217,7,247
124.135.55.64,6,55
124.135.67.216,7,55
124.135.51.195,11,55
124.135.41.157,8,55
124.135.84.179,6,55
124.135.84.9,10,55
124.135.86.41,1,55
124.135.91.7,6,55
124.135.30.209,1,55
124.135.46.77,10,55
124.135.89.181,9,55
124.135.17.82,5,55
124.135.2.95,7,55
124.135.81.43,7,55
124.135.35.73,11,55
124.135.39.132,13,55
124.135.55.91,6,55
124.135.14.210,7,55
124.135.43.222,6,55
124.135.123.64,10,54
124.135.68.21,9,55
124.135.71.254,6,55
124.135.52.119,6,55
124.135.94.81,7,55
124.135.89.11,13,55
124.135.94.251,6,55
124.135.73.218,5,55
124.135.23.35,3,247
124.135.81.98,1,55
124.135.86.45,6,55
124.135.100.140,12,54
124.135.52.244,10,55
124.135.101.56,12,54
124.135.41.197,12,55
124.135.46.61,10,55
124.135.86.100,7,55
124.135.83.0,1,55
124.135.50.94,13,55
124.135.26.17,5,55
124.135.1.124,2,55
124.135.68.48,9,55
124.135.1.155,3,55
124.135.28.145,0,247
124.135.79.48,5,55
124.135.7.90,6,55
124.135.85.25,6,55
124.135.16.220,6,55
124.135.4.5,6,55
124.135.91.170,6,55
124.135.83.61,2,55
124.135.72.25,7,55
124.135.69.178,7,55
124.135.52.228,11,55
124.135.103.226,11,54
124.135.101.115,13,54
124.135.93.72,12,55
124.135.40.222,11,55
124.135.4.169,1,55
124.135.68.228,7,55
124.135.120.231,10,54
124.135.66.203,12,55
124.135.43.31,6,55
124.135.93.133,9,55
124.135.83.88,10,55
124.135.16.24,2,55
124.135.72.205,10,55
124.135.15.249,8,55
124.135.2.191,4,55
124.135.70.180,10,55
124.135.51.184,6,55
124.135.78.35,6,55
124.135.2.120,2,55
124.135.21.202,9,55
124.135.21.233,9,55
124.135.3.216,5,55
124.135.3.19,8,55
124.135.34.53,10,55
124.135.65.185,6,247
124.135.80.241,10,55
124.135.4.226,2,55
124.135.18.210,6,55
124.135.76.10,12,55
124.135.93.160,8,55
124.135.84.12,6,55
124.135.55.80,10,55
124.135.18.1,0,247
124.135.74.248,5,55
124.135.37.94,10,55
124.135.91.125,7,55
124.135.9.133,7,55
124.135.35.135,7,55
124.135.69.162,13,55
124.135.81.243,10,55
124.135.89.14,11,55
124.135.14.3,4,55
124.135.33.82,12,55
124.135.17.60,10,55
124.135.68.37,9,55
124.135.0.121,5,55
124.135.94.84,2,55
124.135.1.177,3,55
124.135.1.210,4,55
124.135.36.154,7,55
124.135.80.225,1,55
124.135.16.245,6,55
124.135.23.13,6,247
124.135.36.123,13,55
124.135.23.210,7,55
124.135.48.56,14,55
124.135.30.17,2,55
124.135.86.245,7,55
124.135.19.11,7,55
124.135.6.87,2,55
124.135.92.59,9,55
124.135.72.14,6,55
124.135.36.43,13,55
124.135.7.143,2,55
124.135.7.176,2,55
124.135.74.142,7,55
124.135.91.109,5,55
124.135.44.70,14,55
124.135.44.101,13,55
124.135.46.123,6,55
124.135.79.228,7,55
124.135.30.74,2,55
124.135.34.149,10,55
124.135.39.84,13,55
124.135.3.252,10,55
124.135.30.218,6,55
124.135.100.242,14,54
124.135.14.246,6,55
124.135.0.223,8,55
124.135.16.46,6,55
124.135.56.150,7,55
124.135.56.119,9,55
124.135.16.79,7,55
124.135.85.205,1,55
124.135.2.229,2,55
124.135.37.190,7,55
124.135.34.78,11,55
124.135.3.57,8,55
124.135.50.46,6,55
124.135.6.189,1,55
124.135.39.141,14,55
124.135.2.113,2,55
124.135.74.24,5,55
124.135.37.119,6,55
124.135.18.37,2,55
124.135.41.206,13,55
124.135.12.106,6,55
124.135.26.53,8,55
124.135.93.149,13,55
124.135.69.76,6,55
124.135.2.9,4,55
124.135.27.109,6,247
124.135.85.87,6,55
124.135.17.98,5,55
124.135.48.152,8,55
124.135.79.110,11,55
124.135.52.245,6,55
124.135.5.17,1,55
124.135.48.81,13,55
124.135.114.141,10,54
124.135.50.103,7,55
124.135.15.92,9,55
124.135.73.53,6,55
124.135.73.84,7,55
124.135.1.109,8,55
124.135.32.79,13,55
124.135.7.231,6,55
124.135.66.155,8,55
124.135.7.75,2,55
124.135.41.2,11,55
124.135.90.89,3,55
124.135.16.238,3,55
124.135.36.176,8,119
124.135.57.115,7,55
124.135.78.170,11,55
124.135.59.203,6,55
124.135.22.191,0,247
124.135.16.134,6,55
124.135.28.161,2,247
124.135.44.156,15,55
124.135.35.126,6,55
124.135.70.132,6,55
124.135.113.109,14,54
124.135.19.58,8,55
124.135.26.155,3,55
124.135.12.248,1,55
124.135.84.116,2,55
124.135.22.87,0,247
124.135.43.67,11,55
124.135.84.147,6,55
124.135.15.234,6,55
124.135.7.80,7,55
124.135.44.123,8,55
124.135.28.45,5,247
124.135.89.149,13,55
124.135.113.239,13,54
124.135.86.33,10,55
124.135.5.31,5,55
124.135.51.220,11,55
124.135.12.253,7,55
124.135.94.219,7,55
124.135.123.185,13,54
124.135.27.197,5,247
124.135.55.116,13,55
124.135.94.188,8,55
124.135.56.172,9,55
124.135.41.104,13,55
124.135.79.206,7,55
124.135.34.71,8,55
124.135.37.228,7,55
124.135.56.205,14,55
124.135.120.175,10,54
124.135.46.114,8,55
124.135.75.9,10,55
124.135.4.185,2,55
124.135.30.121,2,55
124.135.4.193,6,55
124.135.86.197,6,55
124.135.19.72,7,55
124.135.76.19,9,55
124.135.0.97,4,55
124.135.0.60,8,55
124.135.43.169,6,55
124.135.27.41,1,247
124.135.15.239,2,55
124.135.37.112,6,55
124.135.85.183,7,55
124.135.63.130,11,55
124.135.45.175,6,55
124.135.80.242,6,55
124.135.5.99,6,55
124.135.101.48,11,54
124.135.68.73,4,55
124.135.6.26,13,55
124.135.6.63,12,55
124.135.52.66,10,55
124.135.21.192,8,55
124.135.90.185,3,55
124.135.37.8,7,55
124.135.2.54,6,119
124.135.45.59,6,55
124.135.48.190,8,55
124.135.91.126,6,55
124.135.18.226,3,55
124.135.18.234,3,55
124.135.92.11,3,55
124.135.4.84,8,55
124.135.10.1,2,247
124.135.25.25,10,55
124.135.24.187,5,55
124.135.39.188,10,55
124.135.81.252,12,55
124.135.41.253,8,55
124.135.72.50,8,55
124.135.0.142,8,55
124.135.73.106,1,55
124.135.90.114,1,55
124.135.44.211,8,55
124.135.55.218,12,55
124.135.120.57,8,54
124.135.30.41,1,55
124.135.57.224,6,55
124.135.48.74,8,55
124.135.36.108,12,55
124.135.30.33,6,55
124.135.92.68,7,55
124.135.14.185,5,55
124.135.14.222,5,55
124.135.31.23,10,55
124.135.19.140,9,55
124.135.50.150,11,55
124.135.6.108,6,55
124.135.78.192,6,55
124.135.33.72,8,55
124.135.44.55,12,55
124.135.57.108,10,55
124.135.19.211,5,55
124.135.12.25,2,55
124.135.54.46,11,55
124.135.83.113,6,55
124.135.84.169,2,55
124.135.39.202,14,55
124.135.68.175,9,55
124.135.57.4,6,55
124.135.36.113,12,55
124.135.30.185,2,55
124.135.30.177,2,55
124.135.99.247,11,54
124.135.69.215,7,55
124.135.15.11,1,246
124.135.25.248,6,55
124.135.26.29,8,55
124.135.44.60,8,55
124.135.56.104,12,55
124.135.89.204,8,55
124.135.113.87,12,54
124.135.1.48,2,55
124.135.42.11,7,55
124.135.115.111,9,54
124.135.39.100,12,55
124.135.94.241,7,55
124.135.81.22,1,55
124.135.79.244,8,55
124.135.74.42,11,55
124.135.113.16,12,54
124.135.31.91,5,55
124.135.35.214,10,55
124.135.50.164,10,55
124.135.93.185,3,55
124.135.6.151,2,55
124.135.86.24,5,55
124.135.50.70,6,55
124.135.70.236,7,55
124.135.54.60,10,55
124.135.7.14,2,55
124.135.40.234,7,55
124.135.69.61,8,55
124.135.73.194,6,55
124.135.120.153,7,54
124.135.34.12,9,55
124.135.46.202,10,55
124.135.96.232,12,54
124.135.79.128,36,55
124.135.42.79,6,55
124.135.43.6,6,55
124.135.6.180,4,55
124.135.76.66,15,55
124.135.15.54,8,55
124.135.12.187,6,55
124.135.73.38,6,55
124.135.79.24,10,55
124.135.37.53,10,55
124.135.120.82,10,54
124.135.12.97,2,55
124.135.90.223,6,55
124.135.15.173,2,55
124.135.78.124,2,55
124.135.21.7,8,55
124.135.2.126,2,55
124.135.2.202,2,55
124.135.69.66,9,55
124.135.90.107,6,55
124.135.85.1,9,247
124.135.82.43,1,55
124.135.67.17,3,55
124.135.51.196,7,55
124.135.70.250,2,55
124.135.51.159,11,55
124.135.41.23,10,55
124.135.87.45,6,55
124.135.54.128,6,55
124.135.55.92,6,55
124.135.43.88,6,55
124.135.15.83,6,55
124.135.26.117,8,55
124.135.90.3,3,55
124.135.55.55,12,55
124.135.21.126,10,55
124.135.73.43,10,55
124.135.84.101,11,55
124.135.3.30,8,55
124.135.48.15,12,55
124.135.0.46,5,55
124.135.26.236,2,55
124.135.21.36,4,55
124.135.51.241,6,55
124.135.89.103,3,55
124.135.103.205,13,54
124.135.123.221,11,54
124.135.14.9,6,55
124.135.5.13,5,55
124.135.92.115,6,55
124.135.70.156,13,55
124.135.70.148,14,55
124.135.61.86,13,55
124.135.66.70,12,55
124.135.6.12,5,55
124.135.68.49,5,55
124.135.26.146,3,55
124.135.55.137,6,55
124.135.41.66,8,55
124.135.94.173,7,55
124.135.84.106,11,55
124.135.17.71,4,55
124.135.16.251,7,55
124.135.70.47,3,55
124.135.71.62,3,55
124.135.19.54,4,55
124.135.81.211,6,55
124.135.87.59,6,55
124.135.71.245,8,55
124.135.72.26,7,55
124.135.1.129,2,55
124.135.43.131,11,55
124.135.41.185,8,55
124.135.7.95,2,55
124.135.28.134,1,55
124.135.73.239,6,55
124.135.120.191,10,54
124.135.86.213,13,55
124.135.86.221,13,55
124.135.92.129,11,55
124.135.14.171,9,55
124.135.68.94,7,55
124.135.94.178,4,55
124.135.76.148,11,55
124.135.52.28,11,55
124.135.52.147,7,55
124.135.55.180,10,55
124.135.43.160,17,55
124.135.79.69,2,55
124.135.34.160,7,55
124.135.120.75,10,54
124.135.82.125,1,55
124.135.81.110,10,55
124.135.30.117,7,55
124.135.92.35,10,55
124.135.92.27,11,55
124.135.102.74,14,54
124.135.83.89,6,55
124.135.83.52,7,55
124.135.31.5,6,55
124.135.87.127,5,55
124.135.25.234,2,55
124.135.101.228,11,54
124.135.101.236,12,54
124.135.15.254,2,55
124.135.52.57,6,55
124.135.0.192,8,55
124.135.6.158,2,55
124.135.37.125,6,55
124.135.85.46,7,55
124.135.83.134,6,55
124.135.21.207,4,55
124.135.93.161,8,55
124.135.68.137,9,55
124.135.55.209,10,55
124.135.112.10,11,54
124.135.90.48,6,55
124.135.45.72,6,55
124.135.91.182,2,55
124.135.45.148,10,55
124.135.39.184,9,55
124.135.92.197,11,55
124.135.48.87,9,55
124.135.48.163,13,55
124.135.41.249,8,55
124.135.5.136,2,55
124.135.72.114,6,55
124.135.12.75,6,55
124.135.15.61,2,55
124.135.97.224,10,54
124.135.68.166,8,55
124.135.93.206,13,55
124.135.3.131,12,55
124.135.57.197,13,55
124.135.4.110,9,55
124.135.5.191,3,55
124.135.5.211,3,55
124.135.5.181,7,55
124.135.54.42,10,55
124.135.51.145,6,55
124.135.21.14,4,55
