end_ip,rtt,ttl
112.224.126.29,2,14
112.224.126.29,1,14
112.224.126.29,2,14
112.224.126.29,1,14
112.224.126.25,8,14
112.224.126.29,3,14
112.224.126.29,1,14
119.167.86.234,9,8
119.167.86.46,6,8
112.224.126.25,9,16
119.167.86.214,1,8
27.221.94.5,1,7
27.221.94.169,4,7
119.167.86.254,1,8
112.224.126.25,8,12
120.222.48.25,6,8
27.221.86.57,1,7
27.221.86.65,0,7
27.221.94.173,5,7
27.221.94.181,6,7
112.224.126.25,9,12
112.224.126.25,9,12
112.224.126.25,9,10
27.221.86.25,1,7
119.167.86.206,9,8
116.251.113.37,0,5
140.205.26.217,1,5
112.224.126.25,10,12
119.167.86.46,0,8
112.224.126.25,8,12
116.251.117.222,0,4
27.221.94.161,6,7
112.224.126.29,2,12
119.167.86.250,0,8
119.167.86.78,9,8
112.224.126.25,10,12
11.95.17.81,0,4
27.221.86.137,4,7
112.224.126.25,4,12
112.224.126.25,9,12
116.251.114.110,0,4
103.41.143.122,1,5
119.167.86.254,1,8
119.167.86.230,9,8
103.41.143.61,0,6
103.41.143.110,0,5
103.41.143.69,0,4
27.221.94.201,6,7
140.205.26.217,0,5
10.54.188.254,0,3
120.192.93.193,0,4
27.221.94.177,6,7
11.73.5.169,9,8
112.224.126.29,1,12
27.221.86.193,6,7
119.167.86.18,1,8
11.73.5.153,10,8
116.251.117.198,0,4
10.54.143.205,0,3
103.41.143.50,-2,5
10.54.189.10,0,3
112.224.126.29,1,12
10.102.10.73,0,4
219.158.20.94,0,4
10.54.143.197,0,3
112.224.126.29,1,12
119.167.86.142,9,8
27.221.94.137,3,7
119.167.86.214,0,8
119.167.86.94,0,8
27.221.94.133,5,7
27.221.94.201,6,7
112.224.126.25,4,12
112.224.126.29,1,12
112.224.126.25,9,12
27.221.94.133,4,7
119.167.86.70,1,8
119.167.86.26,1,8
10.102.10.117,0,4
103.41.143.137,0,6
11.95.17.81,0,3
11.73.5.177,1,2
116.251.127.6,0,4
119.167.86.234,8,8
119.167.86.70,1,8
27.221.86.181,6,7
116.251.126.250,0,4
103.52.86.122,0,4
11.73.5.137,1,2
11.73.5.105,5,2
103.41.143.118,-1,5
11.95.17.201,0,3
10.54.143.209,0,3
11.73.5.121,9,2
103.41.143.110,0,5
