end_ip,rtt,ttl
223.80.162.79,315,11
211.137.177.130,6,9
211.137.177.130,5,9
219.146.29.234,5,9
211.137.177.38,6,9
211.137.177.38,6,9
211.137.177.34,5,9
211.137.177.34,5,9
211.137.177.34,6,9
211.137.177.34,4,9
211.137.177.34,6,9
211.137.177.38,4,9
140.249.133.73,2,9
211.137.177.38,3,9
211.137.177.34,3,9
211.137.177.34,4,9
211.137.177.34,4,9
211.137.177.38,4,9
211.137.177.38,5,9
211.137.177.34,5,9
211.137.177.34,5,9
211.137.177.38,5,9
211.137.177.34,5,9
211.137.177.34,4,9
211.137.177.34,4,9
211.137.177.34,5,9
211.137.177.34,5,9
211.137.177.34,4,9
211.137.177.34,5,9
211.137.177.34,5,9
211.137.177.34,5,9
211.137.177.34,5,9
219.146.29.230,5,9
211.137.177.34,5,9
211.137.177.34,6,9
211.137.177.38,5,9
211.137.177.34,5,9
211.137.177.34,6,9
211.137.177.34,10,9
211.137.177.34,6,9
211.137.177.34,5,9
211.137.177.38,5,9
120.222.48.21,6,8
211.137.177.38,5,9
120.222.48.25,5,8
211.137.176.105,6,8
120.222.48.25,5,8
211.137.177.38,5,9
120.222.48.17,5,8
211.137.177.34,5,9
211.137.177.38,5,9
140.249.128.177,5,8
120.222.48.25,4,8
120.222.48.21,5,8
211.137.176.237,6,8
120.222.48.25,5,8
211.137.177.141,5,8
120.222.48.21,5,8
211.137.176.105,5,8
120.222.48.21,6,8
211.137.177.38,5,9
120.222.48.25,5,8
120.222.48.25,5,8
211.137.196.153,5,8
211.137.176.65,5,8
211.137.177.34,6,9
211.137.196.153,5,8
211.137.176.237,6,8
211.137.176.105,6,8
211.137.177.38,5,9
219.146.29.226,6,9
211.137.177.38,5,9
211.137.196.153,5,8
211.137.177.34,4,9
211.137.177.34,3,9
211.137.177.38,4,9
219.146.26.206,4,9
211.137.177.38,4,9
211.137.177.34,4,9
211.137.177.34,5,9
211.137.177.34,5,9
211.137.177.34,5,9
120.192.142.186,6,10
120.192.142.190,11,10
120.222.48.17,0,8
211.137.196.149,0,8
120.222.48.17,1,8
211.137.196.149,5,8
120.222.48.17,5,8
211.137.196.149,6,8
120.222.48.17,5,8
211.137.177.141,6,8
120.192.97.237,6,8
211.137.176.105,3,8
211.137.177.38,3,9
211.137.177.141,3,8
211.137.176.105,8,8
211.137.177.34,5,9
211.137.177.38,5,9
211.137.177.38,5,9
120.222.48.25,5,8
120.192.93.189,5,7
211.137.177.34,5,9
211.137.177.141,6,8
120.222.48.17,5,8
211.137.177.141,6,8
211.137.176.105,6,8
211.137.177.38,6,9
211.137.176.105,6,8
140.249.128.137,6,8
120.192.93.193,5,7
120.192.93.189,5,7
120.192.93.189,5,7
211.137.177.141,6,8
