end_ip,rtt,ttl
119.167.86.230,9,8
119.167.86.142,10,8
120.222.48.25,9,8
119.167.86.26,1,8
119.167.86.110,8,8
119.167.86.70,0,8
119.167.86.234,3,8
119.167.86.118,6,8
119.167.86.78,10,8
119.167.86.86,10,8
119.167.86.234,10,8
119.167.86.86,9,8
119.167.86.142,4,8
119.167.86.86,5,8
119.167.86.102,5,8
119.167.86.142,9,8
27.221.86.73,1,7
27.221.86.161,6,7
119.167.86.86,9,8
116.251.115.53,9,8
119.167.86.102,9,8
27.221.86.145,6,7
119.167.86.226,9,8
119.167.86.14,8,8
119.167.86.234,9,8
27.221.43.13,0,6
119.167.86.162,1,8
27.221.94.5,0,7
140.249.132.73,9,8
120.192.93.193,10,8
27.221.86.49,0,7
27.221.43.13,0,6
27.221.94.185,6,7
119.167.86.18,1,8
119.167.86.94,-2,8
27.221.94.197,2,7
27.221.94.33,1,7
27.221.94.137,5,7
27.221.86.13,0,7
219.146.27.65,7,7
27.221.94.197,6,7
27.221.86.189,6,7
27.221.94.137,6,7
27.221.86.81,1,7
27.221.94.29,1,7
119.167.86.126,0,8
27.221.86.209,7,7
27.221.86.149,6,7
27.221.86.141,5,7
27.221.86.133,5,7
27.221.94.49,0,7
103.41.143.54,1,5
120.222.48.17,1,8
119.167.86.178,0,8
27.221.94.77,0,7
116.251.113.45,0,5
27.221.94.185,4,7
27.221.94.149,7,7
27.221.86.149,6,7
140.205.26.217,0,5
27.221.86.157,4,7
27.221.86.189,5,7
27.221.86.205,7,7
116.251.113.53,0,5
103.41.143.50,0,5
27.221.94.149,4,7
27.221.94.169,6,7
116.251.113.37,4,5
27.221.94.205,5,7
140.205.26.217,1,5
140.205.26.217,0,5
103.41.143.50,5,7
116.251.113.221,0,5
116.251.113.53,0,5
11.95.17.217,0,4
119.167.86.66,1,8
27.221.86.137,6,7
27.221.86.193,5,7
119.167.86.114,8,8
103.52.86.134,1,4
103.52.86.138,1,4
119.167.86.66,1,8
140.249.133.65,3,7
27.221.94.133,7,7
103.41.143.73,0,4
116.251.127.42,0,4
103.41.143.110,0,5
103.52.86.98,0,4
27.221.86.181,6,7
27.221.94.149,6,7
119.167.86.26,1,8
116.251.113.57,0,5
103.41.143.77,1,4
140.205.26.217,0,5
11.73.5.185,1,2
119.167.86.18,1,8
103.52.86.118,0,4
27.221.43.13,0,6
10.102.10.93,0,4
119.167.86.78,10,8
140.249.133.69,1,7
27.221.94.169,6,7
116.251.113.53,0,5
103.41.143.118,0,5
116.251.117.222,0,4
116.251.117.202,0,4
27.221.43.13,0,6
103.41.143.114,0,5
119.167.86.246,1,8
103.41.143.46,1,5
27.221.86.33,0,7
140.249.132.61,1,7
140.249.133.77,6,7
10.102.10.89,0,4
119.167.86.214,0,8
27.221.94.209,5,7
116.251.113.221,0,5
27.221.94.53,1,7
119.167.86.54,11,8
27.221.94.65,1,7
10.54.160.61,0,3
120.222.48.21,9,8
27.221.94.133,6,7
119.167.86.46,11,8
116.251.127.66,0,4
27.221.86.77,1,7
119.167.86.94,0,8
119.167.86.106,1,8
103.41.143.110,0,5
103.41.143.129,0,4
119.167.86.174,1,8
119.167.86.226,9,8
119.167.86.18,1,8
140.249.132.73,1,7
116.251.113.57,0,5
116.251.114.106,1,4
10.54.188.242,0,3
116.251.114.118,0,4
11.73.5.97,2,2
116.251.127.18,0,4
103.52.86.58,0,4
120.222.48.29,17,8
103.41.143.110,0,5
103.41.143.81,0,4
10.102.10.145,0,4
10.102.10.53,0,4
103.41.143.69,0,4
11.95.17.113,0,3
11.95.17.137,3,5
116.251.117.214,0,4
27.221.86.137,3,7
119.167.86.98,1,8
119.167.86.122,0,8
119.167.86.98,1,8
27.221.94.17,0,7
27.221.94.133,0,7
27.221.86.197,3,7
119.167.86.174,10,8
211.137.176.65,3,8
140.205.26.217,0,5
27.221.86.133,7,7
27.221.94.5,0,7
27.221.94.145,4,7
140.249.128.157,6,7
103.41.143.110,0,5
27.221.94.73,1,7
27.221.86.185,6,7
119.167.86.234,9,8
27.221.86.205,6,7
27.221.86.145,6,7
27.221.94.141,6,7
27.221.86.193,4,7
27.221.94.133,6,7
119.167.86.98,1,8
27.221.86.173,5,7
103.41.143.114,0,5
27.221.86.181,5,7
116.251.113.73,6,7
27.221.86.173,4,7
119.167.86.126,0,8
27.221.86.129,4,7
