end_ip,rtt,ttl
119.167.86.158,0,8
119.167.86.46,0,8
119.167.86.206,11,8
119.167.86.18,0,8
119.167.86.114,9,8
120.192.97.225,1,8
119.167.86.18,1,8
119.167.86.18,0,8
119.167.86.54,10,8
119.167.86.122,16,8
119.167.86.102,0,8
119.167.86.18,1,8
27.221.94.33,0,7
27.221.94.33,0,7
27.221.94.41,0,7
27.221.86.181,6,7
119.167.86.246,0,8
119.167.86.250,1,8
27.221.94.33,0,7
116.251.113.221,0,5
119.167.86.246,1,8
119.167.86.98,0,8
27.221.94.153,5,7
27.221.94.13,0,7
10.54.160.69,4,3
119.167.86.94,0,8
119.167.86.126,7,8
27.221.43.13,0,6
27.221.94.69,1,7
119.167.86.142,0,8
27.221.43.13,0,6
119.167.86.162,1,8
27.221.86.45,0,7
119.167.86.98,0,8
103.41.143.141,0,4
140.249.133.81,0,7
27.221.94.157,5,7
10.54.160.25,0,3
11.95.17.145,0,3
103.41.143.46,1,5
119.167.86.74,0,8
211.137.177.34,4,8
10.54.188.194,0,3
11.219.68.34,0,3
119.167.86.158,0,8
27.221.94.189,7,7
103.41.143.114,0,5
27.221.94.57,1,7
119.167.86.106,1,8
11.73.5.89,2,2
119.167.86.46,1,8
103.41.143.137,0,4
11.73.5.185,1,2
11.219.68.34,0,3
11.73.5.89,2,2
103.41.143.110,0,5
119.167.86.66,1,8
27.221.94.41,1,7
140.205.26.217,0,3
11.95.17.241,0,3
11.73.5.161,2,2
11.73.5.105,1,2
119.167.86.78,9,8
27.221.94.41,0,7
11.73.5.73,2,2
103.52.86.126,0,4
11.73.5.113,2,2
11.73.5.145,2,2
11.73.5.153,7,2
11.95.17.129,0,3
10.102.10.33,0,4
11.219.68.58,0,3
10.54.143.197,0,3
10.54.143.241,0,3
11.73.5.169,5,2
11.73.5.185,1,2
116.251.117.198,-1,5
11.73.5.121,1,2
119.167.86.70,0,8
103.41.143.61,0,4
119.167.86.214,0,8
10.102.10.61,0,4
27.221.94.9,0,7
27.221.94.181,5,7
27.221.86.157,6,7
27.221.94.81,1,7
119.167.86.66,1,8
27.221.86.197,2,7
27.221.86.53,0,7
27.221.94.73,0,7
119.167.86.126,0,8
27.221.86.181,6,7
27.221.86.21,0,7
