end_ip,rtt,ttl
112.224.126.29,3,14
112.224.126.29,1,14
112.224.126.25,9,14
112.224.126.29,1,14
112.224.126.29,2,14
119.167.86.150,9,8
119.167.86.54,8,8
27.221.94.57,1,7
112.224.126.25,8,12
112.224.126.29,1,12
112.224.126.25,5,12
27.221.43.13,0,6
27.221.94.145,7,7
211.137.177.38,1,14
27.221.94.193,6,7
119.167.87.189,4,9
103.41.143.110,0,5
10.102.10.89,0,3
27.221.86.197,6,7
119.167.86.94,0,8
119.167.86.250,0,8
112.224.126.29,1,12
119.167.86.178,1,8
116.251.113.33,-2,5
112.224.126.29,1,12
103.52.86.54,0,4
116.251.127.66,1,4
10.102.10.69,0,4
219.158.44.78,1,12
27.221.94.165,4,7
27.221.94.209,3,7
27.221.94.141,4,7
27.221.94.41,0,7
103.41.143.114,0,5
27.221.86.133,0,7
103.41.143.122,0,5
116.251.113.37,1,5
119.167.86.98,0,8
103.52.86.46,0,4
103.41.143.110,0,5
27.221.86.173,5,7
211.137.177.34,8,8
119.167.86.46,0,8
27.221.86.133,4,7
27.221.94.145,5,7
27.221.86.189,1,7
27.221.86.89,0,7
10.102.10.33,0,4
27.221.94.165,6,7
112.224.126.29,1,12
27.221.86.149,5,7
27.221.94.197,7,7
119.167.86.230,9,8
119.167.86.74,11,8
10.54.160.25,0,3
103.41.143.81,0,4
10.54.160.53,0,3
119.167.86.46,1,8
112.224.126.29,1,12
112.224.126.29,2,12
112.224.126.29,4,12
112.224.126.25,9,12
112.224.126.29,1,12
11.95.17.113,0,3
112.224.126.29,2,12
112.224.126.29,2,12
27.221.86.145,6,7
112.224.126.25,7,12
112.224.126.29,1,12
112.224.126.25,10,12
140.249.132.73,7,7
119.167.86.242,1,8
119.167.86.86,9,8
11.95.17.137,0,3
119.167.86.150,5,8
211.137.196.149,5,7
119.167.86.158,4,8
27.221.94.133,7,7
112.224.126.29,1,12
27.221.86.161,5,7
27.221.43.13,0,6
119.167.86.242,0,8
112.224.126.25,8,10
119.167.86.206,10,8
27.221.94.141,6,7
11.95.17.89,9,12
116.251.113.57,0,5
27.221.94.33,0,7
112.224.126.29,1,10
112.224.126.29,1,12
112.224.126.29,1,14
116.251.117.210,0,4
103.41.143.46,0,5
119.167.86.246,0,8
27.221.94.25,1,7
116.251.127.62,0,4
119.167.86.54,8,8
119.167.86.94,1,8
119.167.86.86,9,8
11.95.17.193,0,3
119.167.86.54,10,8
112.224.126.29,2,12
27.221.86.173,6,7
119.167.86.118,9,8
27.221.94.73,0,7
119.167.86.46,1,8
112.224.126.25,7,10
