end_ip,rtt,ttl
119.167.86.142,8,8
119.167.86.86,10,8
119.167.86.122,1,8
27.221.43.13,0,6
27.221.94.137,4,7
27.221.43.13,0,6
116.251.113.221,0,5
27.221.94.145,6,7
27.221.94.37,0,7
116.251.113.221,7,7
119.167.86.78,7,8
119.167.86.18,1,8
11.95.17.233,0,3
10.102.10.117,0,4
119.167.86.90,0,8
27.221.94.201,5,7
27.221.94.49,0,7
27.221.86.141,6,7
11.73.5.89,1,2
140.249.132.53,0,7
27.221.86.193,5,7
119.167.86.234,9,8
10.102.10.97,0,4
10.54.143.241,0,3
103.41.143.125,1,4
11.73.5.153,4,2
116.251.127.62,0,4
27.221.94.189,4,7
27.221.86.177,6,7
27.221.86.165,5,7
27.221.85.217,0,6
11.73.5.193,2,2
11.73.5.105,5,2
119.167.86.174,1,8
10.102.10.113,0,4
10.54.160.81,0,3
10.102.10.149,0,4
11.73.5.161,2,2
10.54.188.214,0,3
103.41.143.110,0,5
116.251.127.6,0,4
140.249.128.193,-1,8
27.221.94.185,5,7
27.221.94.197,4,7
27.221.86.137,6,7
27.221.86.161,7,7
27.221.86.169,6,7
10.54.188.238,0,3
10.54.188.218,6,3
140.249.132.81,0,6
140.205.26.217,0,5
119.167.86.254,1,8
119.167.86.142,9,8
219.146.27.65,9,8
119.167.86.178,0,8
11.247.238.58,1,8
119.167.86.78,7,8
27.221.86.185,5,7
120.222.48.21,0,1
103.41.143.54,2,7
116.251.127.66,0,8
119.167.86.158,1,8
27.221.94.137,6,7
27.221.86.13,1,7
119.167.86.94,0,8
10.54.160.61,0,3
10.102.10.53,0,4
103.41.143.145,1,4
27.221.43.13,0,6
103.41.143.50,0,5
10.54.188.218,0,3
11.73.5.113,2,2
10.54.160.33,0,3
140.249.133.57,0,6
140.249.133.81,0,6
103.52.86.130,0,4
10.54.143.209,0,4
27.221.86.197,7,7
11.95.17.145,0,3
119.167.86.102,10,8
119.167.86.70,1,8
11.73.5.97,1,2
116.251.113.53,0,5
119.167.86.178,0,8
116.251.115.53,6,7
11.95.17.161,0,3
27.221.86.49,0,7
120.192.93.193,0,7
10.54.143.205,0,3
119.167.86.150,8,8
27.221.94.77,1,7
27.221.86.49,0,7
27.221.86.129,5,7
119.167.86.214,0,8
11.73.5.145,1,3
119.167.86.106,1,8
119.167.86.106,1,8
119.167.86.66,1,8
119.167.86.162,1,8
27.221.86.153,5,7
11.73.5.153,3,2
11.73.5.137,3,2
140.249.132.105,8,8
10.54.189.26,0,3
119.167.86.246,0,8
119.167.86.122,0,8
11.219.68.2,0,3
27.221.94.77,1,7
27.221.86.181,6,7
103.41.143.50,1,5
27.221.94.177,1,8
27.221.86.205,7,7
119.167.86.206,9,8
27.221.94.77,0,7
10.54.143.197,25,3
119.167.86.130,10,8
119.167.86.118,11,8
119.167.86.74,10,8
27.221.86.181,3,7
119.167.86.94,1,8
