end_ip,rtt,ttl
119.167.86.98,0,8
119.167.86.18,1,8
27.221.86.141,5,7
116.251.113.73,0,5
119.167.86.162,1,8
119.167.86.94,1,8
112.231.22.113,6,7
27.221.43.13,0,6
103.41.143.114,0,5
116.251.113.73,0,5
103.52.86.130,0,4
103.41.143.114,0,5
27.221.94.69,0,7
103.52.86.50,0,4
119.167.86.158,0,8
140.249.133.81,6,7
116.251.126.246,0,4
119.167.86.66,0,8
119.167.86.94,0,8
119.167.86.46,10,8
11.95.17.97,0,3
116.251.88.37,4,6
116.251.113.53,-2,5
120.192.142.194,5,7
140.249.133.57,0,7
10.54.160.109,28,3
116.251.127.18,1,4
10.54.160.53,0,3
11.219.68.58,0,3
10.102.10.81,0,4
11.95.17.233,0,3
116.251.115.53,4,6
27.221.94.189,5,7
112.231.22.117,4,7
27.221.86.13,0,7
27.221.86.21,0,7
119.167.86.158,0,8
119.167.86.174,1,8
27.221.86.137,6,7
103.41.143.110,1,5
11.73.5.105,2,2
27.221.86.145,7,7
116.251.115.53,5,7
119.167.86.18,2,8
27.221.94.181,5,7
27.221.43.13,0,6
10.54.143.209,0,3
11.73.5.129,3,2
116.251.117.206,1,4
10.102.10.137,-3,4
11.73.5.97,0,2
10.54.143.237,0,3
10.54.143.237,0,3
103.52.86.50,0,4
11.73.5.137,2,2
11.73.5.81,26,2
103.52.86.138,0,4
11.73.5.105,4,2
11.73.5.81,5,2
10.54.143.209,0,3
11.219.68.26,-2,3
10.102.10.81,0,4
116.251.114.106,0,4
119.167.86.254,1,8
27.221.94.129,3,7
27.221.86.201,6,7
27.221.94.57,0,7
116.251.88.37,4,6
27.221.86.57,0,7
27.221.86.205,0,7
27.221.86.61,0,7
112.231.22.117,6,7
116.251.114.118,0,4
103.41.143.118,1,5
119.167.86.162,1,8
103.41.143.54,1,5
119.167.86.246,0,8
119.167.86.250,1,8
119.167.86.98,0,8
116.251.113.53,1,5
116.251.113.221,0,5
10.54.188.178,0,3
112.231.22.113,6,7
27.221.86.181,7,7
140.249.128.241,0,1
116.251.88.37,6,6
27.221.86.85,0,7
27.221.86.153,5,7
112.231.22.113,6,7
116.251.113.73,0,4
27.221.86.129,7,7
27.221.86.205,6,7
27.221.85.217,0,6
27.221.86.41,0,7
27.221.94.165,6,7
112.231.22.117,6,7
103.41.143.50,0,5
27.221.85.217,0,6
112.231.22.113,6,7
103.41.143.122,1,4
116.251.113.73,0,5
119.167.86.98,0,8
